Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
8/4/2016,Thursday,2164.25,9,-13,4,7,2044.21365,2,-14.48,14.44,6.15,-3.06,0.73,1.05,1.00,0.86,0.02,12.42,11.656,12.34454545
8/5/2016,Friday,2182.87,6,-13,5,8,2044.97415,1,-11.49,13.65,5.03,-4.32,0.17,0.05,0.05,-0.09,0.86,11.39,11.688,12.36954545
8/8/2016,Monday,2180.89,7,-14,5,6,2045.7839,1,-12.62,13.48,5.14,-4.39,0.24,0.08,0.42,0.04,-0.09,11.5,11.75,12.41545455
8/9/2016,Tuesday,2181.74,6,-13,7,6,2046.43005,1,-13.88,13.40,5.18,-2.30,-0.02,0.24,-0.16,-0.29,0.04,11.66,11.946,12.68090909
8/10/2016,Wednesday,2175.49,8,-13,6,5,2046.93175,1,-12.86,12.08,6.09,-1.65,-2.19,0.00,0.31,0.47,-0.29,12.05,11.974,12.82227273
8/11/2016,Thursday,2185.79,8,-13,7,6,2047.5048,1,-14.14,11.69,5.96,-1.03,-1.22,-0.61,0.06,-0.08,0.47,11.68,11.924,13.10272727
8/12/2016,Friday,2184.05,7,-13,4,5,2048.0956,1,-11.69,12.90,6.60,-0.76,-2.61,-0.69,-0.01,0.28,-0.08,11.55,11.882,13.40227273
8/15/2016,Monday,2190.15,4,-13,5,5,2048.5946,1,-14.35,12.53,6.73,-1.17,-2.94,-0.45,-0.34,-0.55,0.28,11.81,11.974,13.60636364
8/16/2016,Tuesday,2178.15,4,-14,4,4,2049.0383,1,-15.42,13.31,7.86,-0.64,-1.42,-0.09,0.40,0.19,-0.55,12.64,11.922,13.73045455
8/17/2016,Wednesday,2182.22,1,-14,5,5,2049.5526,0,-12.59,11.35,7.56,-0.08,-1.97,-0.52,-0.31,0.22,0.19,12.19,12.174,13.88227273
8/18/2016,Thursday,2187.02,2,-14,5,5,2049.96745,1,-14.25,10.91,7.51,-0.46,-2.19,-0.74,-0.67,-0.14,0.22,11.43,12.614,14.08636364
8/19/2016,Friday,2183.87,4,-13,4,5,2050.33785,1,-9.65,11.20,8.31,0.15,-2.02,-0.18,-0.68,-0.06,-0.14,11.34,13.076,14.17545455
